SUBDIVISION,YEAR,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
VIDARBHA,2014,19.5,56.3,817.5,25.8
CHHATTISGARH,1998,76,55.6,1060.1,140.9
CHHATTISGARH,1999,3.1,31.6,1194.9,93
CHHATTISGARH,2000,2.6,11.4,887.8,4.6
CHHATTISGARH,2001,1.1,48.7,1458.8,91.6
CHHATTISGARH,2002,46.4,47.5,809.3,86.9
CHHATTISGARH,2003,21.4,15.5,1479.1,178.2
CHHATTISGARH,2004,54.5,31.1,1014.3,44.6
CHHATTISGARH,2005,73.2,29,1099,86.1
CHHATTISGARH,2006,2.7,66.8,1219,29.1
CHHATTISGARH,2007,15.7,28,1167.2,70.3
CHHATTISGARH,2008,16.4,42.9,1037.4,11.8
CHHATTISGARH,2009,1.2,15.4,852,88
CHHATTISGARH,2010,12.8,19.4,1172.2,102.1
CHHATTISGARH,2011,11.8,54.4,1218.2,18.3
CHHATTISGARH,2012,41.5,25.4,1265.4,45.1
CHHATTISGARH,2013,22.5,56.4,1159.9,181.2
CHHATTISGARH,2014,31.3,63.7,1102.1,81.6
COASTAL ANDHRA PRADESH,1998,48.3,97.2,858,307.2
COASTAL ANDHRA PRADESH,1999,2.8,85.4,554.7,182.2
COASTAL ANDHRA PRADESH,2000,42.5,88.3,768.9,92.6
COASTAL ANDHRA PRADESH,2001,8.4,124.8,598.1,278
COASTAL ANDHRA PRADESH,2002,28,77.1,435,163
COASTAL ANDHRA PRADESH,2003,25.6,72.3,634.1,364.9
COASTAL ANDHRA PRADESH,2004,35.3,109.3,571.5,157.5
COASTAL ANDHRA PRADESH,2005,21.6,98,743.6,358.4
COASTAL ANDHRA PRADESH,2006,0,156.3,762.6,240.7
COASTAL ANDHRA PRADESH,2007,5.1,21.6,892.5,180
COASTAL ANDHRA PRADESH,2008,64.8,147.1,771.4,124.2
COASTAL ANDHRA PRADESH,2009,0,65.1,528.8,196.5
COASTAL ANDHRA PRADESH,2010,24.1,181.2,954,553.1
COASTAL ANDHRA PRADESH,2011,17.9,131.2,628.4,84.4
COASTAL ANDHRA PRADESH,2012,37.6,66.1,785,429.7
COASTAL ANDHRA PRADESH,2013,31.7,76.4,545,467.4
COASTAL ANDHRA PRADESH,2014,1.5,128,519.7,225.7
TELANGANA,1998,27.3,58.5,913.2,93.9
TELANGANA,1999,9.3,81.2,715.4,58
TELANGANA,2000,17.5,66.1,965.3,29.1
TELANGANA,2001,8.5,66.4,694.3,153.1
TELANGANA,2002,28.9,47.3,609,80.1
TELANGANA,2003,10.7,43.8,794.5,114.2
TELANGANA,2004,52.2,69.8,509.1,35.9
TELANGANA,2005,57.5,58.2,888.5,158.8
TELANGANA,2006,0,127.5,862.7,62.8
TELANGANA,2007,0,9.4,780.2,53.8
TELANGANA,2008,18.8,129.3,854.8,32.5
TELANGANA,2009,0,19.8,546.2,100.3
TELANGANA,2010,15.5,32,1080.4,148.5
TELANGANA,2011,11.9,37.4,685.6,18.1
TELANGANA,2012,6.7,22.6,857,122.3
TELANGANA,2013,31.4,33,1059.2,225
TELANGANA,2014,3.1,141.9,560.2,41
RAYALSEEMA,1998,3.3,66,546.1,332.6
RAYALSEEMA,1999,5.8,80.4,268.8,182.1
RAYALSEEMA,2000,34.3,96.1,531.8,209.1
RAYALSEEMA,2001,7.7,99.2,385.4,432.3
RAYALSEEMA,2002,28.8,80.2,281.6,224.6
RAYALSEEMA,2003,1.3,45.2,482.2,196.8
RAYALSEEMA,2004,14.5,197.7,339.5,190.1
RAYALSEEMA,2005,14.9,101.6,418.6,531.2
RAYALSEEMA,2006,0.2,105.2,345.7,187
RAYALSEEMA,2007,0.5,21.2,665,294
RAYALSEEMA,2008,25.1,109.1,339.8,323.9
RAYALSEEMA,2009,0.5,61.1,386.4,240.3
RAYALSEEMA,2010,5.5,79,573.8,305.2
RAYALSEEMA,2011,12.8,67.6,408.2,249.4
RAYALSEEMA,2012,2.7,74,376.2,262.1
RAYALSEEMA,2013,31.9,77.3,443,210.5
RAYALSEEMA,2014,0.9,64.2,331.5,155.2
TAMIL NADU,1998,12.5,83.6,419.6,564
TAMIL NADU,1999,32.3,135.3,249.6,505.3
TAMIL NADU,2000,104.7,105.6,403.9,357.8
TAMIL NADU,2001,32.7,151.8,149.5,149.3
TAMIL NADU,2002,25,45.7,94.2,153.1
TAMIL NADU,2003,4.4,54.8,136.6,152.6
TAMIL NADU,2004,3.5,120.3,413.2,500.6
TAMIL NADU,2005,15.2,233,334.8,782.3
TAMIL NADU,2006,15.5,150.2,280.6,481.6
TAMIL NADU,2007,14.7,104.7,399.7,548
TAMIL NADU,2008,40.8,250,321.5,591.2
TAMIL NADU,2009,7.9,157.2,280.4,482.9
TAMIL NADU,2010,11.9,116.7,365.4,601.2
TAMIL NADU,2011,15.5,132.8,306.4,471.8
TAMIL NADU,2012,3.1,79.9,259.5,293.6
TAMIL NADU,2013,34.8,92.2,321.5,293.4
TAMIL NADU,2014,13.4,155.5,315.1,428.9
NORTH INTERIOR KARNATAKA,1998,0,39.2,626.7,186.6
NORTH INTERIOR KARNATAKA,1999,3.4,93.5,410.7,153.2
NORTH INTERIOR KARNATAKA,2000,3,57.4,533.6,118.3
NORTH INTERIOR KARNATAKA,2001,2.1,35.5,418.9,141.4
NORTH INTERIOR KARNATAKA,2002,11.7,55.6,333.4,129.9
NORTH INTERIOR KARNATAKA,2003,1.8,43.6,329.7,98.4
NORTH INTERIOR KARNATAKA,2004,5.3,125.3,445.2,66.1
NORTH INTERIOR KARNATAKA,2005,6.6,92.6,601,107.4
NORTH INTERIOR KARNATAKA,2006,0,107.9,470,72.6
NORTH INTERIOR KARNATAKA,2007,18.5,73.7,681.5,63.2
NORTH INTERIOR KARNATAKA,2008,9.6,161.3,452.3,89.2
NORTH INTERIOR KARNATAKA,2009,0.3,90.4,597.9,224.9
NORTH INTERIOR KARNATAKA,2010,12.1,55.6,630.4,155.2
NORTH INTERIOR KARNATAKA,2011,7.7,95.2,473.1,79.2
NORTH INTERIOR KARNATAKA,2012,34.7,55.3,359.3,134.5
NORTH INTERIOR KARNATAKA,2013,7.3,75.7,534.9,105.2
NORTH INTERIOR KARNATAKA,2014,6.1,148.7,482.5,119.5
KERALA,1998,8,220.8,2263.4,659.3
KERALA,1999,25.5,586.2,1661.9,640.9
KERALA,2000,69.5,242.3,1739.4,361.5
KERALA,2001,44.7,483.7,1892,510.7
KERALA,2002,13.3,483.7,1359,651.3
KERALA,2003,51.6,307.5,1542.6,493.1
KERALA,2004,10.5,762,1669.5,444
KERALA,2005,26.8,366,2157.6,480.7
KERALA,2006,8.6,677.2,2193.8,541
KERALA,2007,6.1,338.4,2688.5,456.5
KERALA,2008,31.1,406.7,1670.9,415.7
KERALA,2009,4.8,323.1,1958.9,523.8
KERALA,2010,19.6,360.9,1928,823.3
KERALA,2011,66.2,313.5,2209.1,446.3
KERALA,2012,18.3,287.4,1535.6,309.8
KERALA,2013,43.9,218.5,2561.2,431.8
KERALA,2014,14.9,364.5,2164.8,502.1
LAKSHADWEEP,1998,52,110.3,1242.2,582.4
LAKSHADWEEP,1999,50.3,455.6,946.2,405.2
LAKSHADWEEP,2000,102.2,255.9,805.3,208.7
LAKSHADWEEP,2001,24.8,291.9,840.6,223.3
LAKSHADWEEP,2002,27.6,220.4,537,248.5
LAKSHADWEEP,2003,30,156.2,941.5,405.2
LAKSHADWEEP,2004,8.7,339.8,901.5,303.2
LAKSHADWEEP,2005,28.7,129.8,1007.8,409.1
LAKSHADWEEP,2006,20.1,361.2,928.4,288.9
LAKSHADWEEP,2007,6.7,188.6,1753,413.3
LAKSHADWEEP,2008,25.3,316.9,934,450.6
LAKSHADWEEP,2009,6.2,180.3,997.7,385.9
LAKSHADWEEP,2010,18.8,115.8,1152.2,438.4
LAKSHADWEEP,2011,7.9,196.2,1013,316.6
LAKSHADWEEP,2012,19.3,99.6,1119.5,167.1
LAKSHADWEEP,2013,60.6,131.1,1057,177.6
LAKSHADWEEP,2014,69.3,76.7,958.5,290.5
